@RELATION Classificator

@ATTRIBUTE Res[0] NUMERIC
@ATTRIBUTE Res[1] NUMERIC
@ATTRIBUTE Res[2] NUMERIC
@ATTRIBUTE Res[3] NUMERIC
@ATTRIBUTE Res[4] NUMERIC
@ATTRIBUTE Res[5] NUMERIC
@ATTRIBUTE Res[6] NUMERIC
@ATTRIBUTE ClassOutput NUMERIC

@DATA
102.0,4.68281938326,0.42731277533,0.519823788546,0.123348017621,0.683168316832,57.3473188903,1.0
74.0,4.17905405405,0.47972972973,0.47972972973,0.155405405405,0.611764705882,89.8116109189,1.0
62.9047619048,4.17519685039,0.496062992126,0.44094488189,0.129921259843,0.543529411765,61.23183391,1.0
67.5,4.05405405405,0.486486486486,0.443243243243,0.12972972973,0.552380952381,69.5389266818,1.0
88.4137931034,4.48366013072,0.407407407407,0.540305010893,0.100217864924,0.529850746269,79.7009975001,1.0
53.9375,4.28173374613,0.442724458204,0.501547987616,0.108359133127,0.669230769231,49.4082840237,1.0
96.8,4.4749034749,0.457528957529,0.492277992278,0.106177606178,0.558951965066,65.5021834061,1.0
92.5333333333,4.34645669291,0.472440944882,0.468503937008,0.114173228346,0.616071428571,70.950255102,1.0
90.2,4.24701195219,0.486055776892,0.466135458167,0.0876494023904,0.597285067873,65.5187240228,1.0
78.8333333333,4.71782178218,0.413366336634,0.532178217822,0.131188118812,0.669565217391,49.9054820416,1.0
68.3333333333,4.47118644068,0.48813559322,0.474576271186,0.125423728814,0.612903225806,106.334547347,1.0
67.35,4.72222222222,0.418803418803,0.525641025641,0.128205128205,0.702564102564,51.5450361604,1.0
78.3125,4.43362831858,0.464601769912,0.469026548673,0.154867256637,0.620512820513,65.2202498356,1.0
74.8928571429,4.13533834586,0.50626566416,0.448621553885,0.0927318295739,0.552325581395,93.1246619794,1.0
69.1111111111,4.30042918455,0.442060085837,0.484978540773,0.0772532188841,0.616161616162,72.9517396184,1.0
112.695652174,4.86187214612,0.389269406393,0.551369863014,0.0673515981735,0.533757961783,55.0123737271,1.0
92.5744680851,4.6976127321,0.40450928382,0.534482758621,0.106100795756,0.539393939394,51.0101010101,1.0
96.3859649123,4.70020964361,0.417190775681,0.523060796646,0.0911949685535,0.563614744352,51.7191894028,1.0
103.963636364,4.71486349848,0.398382204247,0.529828109201,0.115267947422,0.55278093076,46.9747900242,1.0
114.928571429,4.70863309353,0.392985611511,0.535971223022,0.0998201438849,0.525474525475,53.0139191478,1.0
87.92,4.77168141593,0.40796460177,0.525663716814,0.105309734513,0.534148827727,40.9201952282,1.0
92.75,4.81779053085,0.394548063128,0.558106169297,0.0975609756098,0.598360655738,50.2015587208,1.0
